RunTime,ExecutableName
2026-05-01 11:02:04,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\LOGONUI.EXE
2026-05-01 10:59:05,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\LOGONUI.EXE
2026-05-01 10:59:04,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\LOGONUI.EXE
2026-05-01 10:47:59,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\LOGONUI.EXE
2026-05-01 10:53:27,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\LPREMOVE.EXE
2026-05-01 10:31:11,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\SYSTEM32\LPREMOVE.EXE
2026-05-01 12:34:39,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2026-05-01 12:34:39,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2026-05-01 11:35:33,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2026-05-01 11:28:53,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2026-05-01 11:28:53,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2026-05-01 11:04:47,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2026-05-01 11:04:47,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2026-05-01 11:03:06,\VOLUME{01dcd95ccfce9a9e-fccfd489}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE
2026-05-01 10:30:50,MICROSOFTEDGE_X64_147.0.3912.
2026-05-01 11:04:06,MICROSOFTEDGE_X64_147.0.3912.
2026-05-01 10:31:42,MICROSOFTEDGE_X64_147.0.3912.
2026-05-01 11:34:14,MICROSOFTSTARTFEEDPROVIDER.EX
2026-05-01 11:34:09,MICROSOFTSTARTFEEDPROVIDER.EX
2026-05-01 11:00:37,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\UUS\PACKAGES\PREVIEW\AMD64\MONOTIFICATIONUX.EXE
2026-05-01 10:59:54,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\UUS\PACKAGES\PREVIEW\AMD64\MONOTIFICATIONUX.EXE
2026-05-01 10:54:49,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\UUS\PACKAGES\PREVIEW\AMD64\MONOTIFICATIONUX.EXE
2026-05-01 10:47:47,\VOLUME{01dcd95ccfce9a9e-fccfd489}\WINDOWS\UUS\PACKAGES\PREVIEW\AMD64\MONOTIFICATIONUX.EXE
